city,country,latitude,longitude,temperature,humidity,cloudiness,wind speed
Santa Isabel Rio Negro,BR,-0.41,-65.02,80.28,91,98,4.97
Xichang,CN,27.9,102.26,73.29,72,100,2.77
Palestine,PS,31.92,35.2,79.52,65,75,12.75
Kahului,US,20.89,-156.47,72.7,69,1,9.86
Methven,NZ,-43.63,171.65,38.35,91,0,2.42
Brainerd,US,46.36,-94.2,65.14,59,1,4.7
Petatlán,MX,17.52,-101.27,80.6,78,40,2.24
Marystown,CA,47.17,-55.15,51.76,81,98,13.96
Loznicko Polje,RS,44.56,19.22,66.31,77,75,8.05
Tari,NG,12.41,4.49,99.03,27,12,3.6
Nautla,MX,20.22,-96.78,83.32,71,4,4.54
Burnie,AU,-41.07,145.92,48.99,93,87,1.99
Córdoba,AR,-31.41,-64.18,60.22,51,24,3.36
Belmonte,BR,-15.86,-38.88,80.6,61,40,10.29
Yuanping,CN,38.72,112.76,70.99,52,0,1.92
Kutum,SD,14.2,24.67,93.97,10,0,8.81
Fasa,IR,28.94,53.65,100.4,10,20,16.11
Fortuna,US,40.6,-124.16,55.67,100,90,3.36
Mae Hong Son,TH,19.3,97.97,75.99,86,28,1.86
Suntar,RU,62.14,117.63,60.48,73,1,3.22
Wajir,KE,1.75,40.06,93.2,34,40,6.93
Ballina,AU,-28.87,153.57,52.18,93,5,5.39
Mpulungu,ZM,-8.76,31.11,79.0,46,71,4.88
Ponta Delgada,PT,37.73,-25.67,68.0,77,20,14.99
Honningsvåg,NO,70.98,25.97,44.69,80,0,4.36
Sechura,PE,-5.56,-80.82,69.51,68,47,10.02
Chhor,PK,25.52,69.77,98.38,44,0,20.92
Payakumbuh,ID,-0.22,100.63,71.67,88,76,1.97
Svetlaya,RU,46.54,138.33,50.09,78,96,2.26
Nara,JP,34.69,135.8,64.2,71,38,2.82
Tocopilla,CL,-22.09,-70.2,66.25,52,10,6.55
Wattegama,LK,6.8,81.48,86.0,74,40,9.17
Central Point,US,42.38,-122.92,65.61,72,1,1.59
Irbit,RU,57.67,63.07,57.94,91,96,10.94
Tshikapa,CD,-6.42,20.8,92.14,21,0,2.42
Royal Palm Beach,US,26.71,-80.23,87.39,70,40,3.36
Chicontepec,MX,20.97,-98.17,77.29,83,10,1.45
Temir,KZ,49.14,57.13,79.07,23,0,4.27
Biskamzha,RU,53.45,89.53,48.04,90,100,3.15
Shihezi,CN,44.3,86.03,65.62,55,45,17.05
Agüimes,ES,27.91,-15.45,77.0,57,20,31.09
Sahuaripa,MX,29.05,-109.23,89.58,17,0,0.51
Marawi,PH,8.0,124.29,80.01,89,63,3.0
Najrān,SA,17.49,44.13,102.2,11,20,6.93
Aranos,NA,-24.13,19.12,70.57,20,12,6.87
Havøysund,NO,71.0,24.66,51.8,62,0,2.24
Aksu,CN,41.12,80.26,72.66,33,63,7.49
Bilibino,RU,68.05,166.44,65.08,51,69,1.36
Erenhot,CN,43.65,111.98,87.48,17,15,16.82
Ballitoville,ZA,-29.54,31.21,68.0,72,0,5.82
Padang,ID,-0.95,100.35,78.48,77,100,4.9
Solnechnyy,RU,50.72,136.63,46.45,88,10,2.37
Sabha,LY,27.04,14.43,106.29,7,0,3.89
Palanga,LT,55.92,21.07,69.8,88,91,6.93
Coromandel,BR,-18.47,-47.2,76.77,56,0,9.22
Parkes,AU,-33.13,148.18,53.01,91,100,11.52
Bhabhua,IN,25.05,83.62,87.82,71,100,0.18
Bonavista,CA,48.65,-53.11,43.12,84,72,11.63
Xai-Xai,MZ,-25.05,33.64,66.22,86,0,3.65
Wagar,SD,16.15,36.2,103.86,17,0,8.3
Kalmunai,LK,7.42,81.82,85.1,74,100,4.5
Karpogory,RU,64.0,44.45,48.36,64,100,11.07
Puerto Carreño,CO,6.19,-67.49,82.4,74,40,1.72
Clarence Town,AU,-32.58,151.78,50.11,81,70,6.93
Pineville,US,31.32,-92.43,81.28,74,1,6.26
São Francisco,BR,-15.95,-44.86,81.43,48,95,6.89
Ushtobe,KZ,45.25,77.98,62.82,29,0,8.43
Vila Velha,BR,-20.33,-40.29,79.54,61,0,12.75
Tazovsky,RU,67.47,78.7,45.54,82,94,9.15
Swift Current,CA,50.28,-107.8,50.0,66,40,3.36
Ladário,BR,-19.0,-57.6,84.2,54,0,11.41
Labuhan,ID,-6.88,112.21,78.78,80,99,7.76
Porto Velho,BR,-8.76,-63.9,86.0,62,0,6.93
Mount Gambier,AU,-37.83,140.77,46.4,93,90,4.7
Sandwich,US,41.65,-88.62,81.81,51,75,12.75
Acarí,PE,-15.43,-74.62,72.45,46,41,6.58
Chingirlau,KZ,51.09,54.08,82.58,35,0,3.06
Quatre Cocos,MU,-20.21,57.76,73.2,69,40,17.22
Mwense,ZM,-10.38,28.7,79.86,26,14,5.35
Hamakita,JP,34.8,137.78,70.65,81,68,1.23
Pacific Grove,US,36.62,-121.92,53.87,87,90,3.36
Sibolga,ID,1.74,98.78,78.67,77,87,3.06
Marsaxlokk,MT,35.84,14.54,81.52,35,0,18.34
Mulegé,MX,26.88,-111.98,90.52,27,0,1.07
Tevriz,RU,57.51,72.4,55.78,61,100,9.42
Arman',RU,59.7,150.17,44.55,93,10,1.28
Derventa,BA,44.98,17.91,68.13,77,20,6.93
Taoudenni,ML,22.68,-3.98,115.48,6,80,5.32
Barcelos,PT,41.54,-8.62,73.36,68,1,9.17
Yuxia,CN,34.06,108.63,78.91,54,42,6.71
Kilindoni,TZ,-7.91,39.67,78.31,72,100,16.24
Ishigaki,JP,24.34,124.16,83.75,86,60,14.27
Damāvand,IR,35.72,52.06,98.22,5,20,9.17
Uvinza,TZ,-5.1,30.39,80.44,43,61,4.59
Ilebo,CD,-4.32,20.58,92.95,25,0,2.08
